id,earnings,occ,ability,age,region,female,education,exp,year
1,1540.75,1,30,39,1,0,4,32,2000
2,2282.25,3,71,34,1,0,8,25,2000
3,3578.95,18,83,47,1,1,11,32,2000
4,3023.5,21,50,45,2,0,7,37,2000
5,4608.9502,25,92,41,1,1,11,28,2000
6,4164,34,62,46,4,0,8,34,2000
7,3399.75,26,20,30,1,0,2,26,2000
8,4324.9502,22,99,43,3,1,15,22,2000
9,3175.7,12,38,45,4,1,5,35,2000
10,3681,22,52,46,2,0,5,38,2000
11,3609,28,33,35,4,0,5,26,2000
12,2109.5,8,38,42,4,0,6,33,2000
13,4929.7002,31,90,41,4,1,13,21,2000
14,4917.25,42,81,33,3,0,11,15,2000
15,4023.25,30,34,37,1,0,5,25,2000
16,4329.7002,34,63,41,4,1,11,23,2000
17,,7,69,40,4,0,11,23,2000
18,3050.7,14,72,32,4,1,7,23,2000
19,3686,17,72,47,2,0,9,32,2000
20,,13,56,38,2,0,9,27,2000
21,3676.5,27,36,42,2,0,4,37,2000
22,1456.75,2,24,33,1,0,3,26,2000
23,3180.2,6,60,39,2,1,8,30,2000
24,4489.75,42,71,41,3,0,7,32,2000
25,4292.7002,38,71,40,2,1,8,29,2000
26,3993.95,31,57,38,1,1,9,28,2000
27,2911.45,9,66,49,3,1,7,39,2000
28,4610.5,48,22,47,4,0,3,37,2000
29,,18,31,36,3,1,4,27,2000
30,4255,44,24,39,2,0,4,30,2000
31,3896.75,29,79,32,1,0,9,18,2000
32,3302.75,8,62,33,1,0,10,20,2000
33,5487.5,43,86,48,4,0,8,39,2000
34,3883.45,21,96,43,1,1,14,27,2000
35,4048.2,27,74,45,4,1,7,34,2000
36,2779.95,19,31,38,1,1,4,28,2000
37,3766.95,37,51,47,3,1,6,40,2000
38,2918.75,12,65,45,1,0,9,30,2000
39,4690.25,49,42,36,3,0,4,29,2000
40,3137.2,10,74,48,2,1,8,38,2000
41,4163.9502,42,59,34,3,1,9,18,2000
42,2888.95,8,33,43,1,1,5,36,2000
43,4416.25,24,92,39,1,0,9,23,2000
44,2982.25,18,72,33,3,0,9,23,2000
45,,15,94,39,3,1,16,20,2000
46,3053.45,12,42,44,1,1,5,35,2000
47,4820.25,36,97,44,3,0,14,25,2000
48,4058.5,45,29,42,4,0,5,33,2000
49,,10,71,44,1,1,11,27,2000
50,4676,43,67,30,4,0,11,14,2000
51,4072.5,22,91,30,4,0,10,19,2000
52,4619,46,23,34,4,0,3,30,2000
53,4252.75,32,63,30,3,0,10,16,2000
54,4595.9502,37,80,35,3,1,10,22,2000
55,4374.2002,47,48,42,4,1,6,34,2000
56,4313.75,28,72,41,1,0,9,30,2000
57,4025.75,34,63,33,1,0,6,26,2000
58,4929.75,47,91,37,1,0,13,18,2000
59,4205.7002,31,98,34,2,1,14,15,2000
60,3922.5,16,96,44,2,0,16,27,2000
61,4709.4502,48,65,47,3,1,7,37,2000
62,3311.45,21,54,38,3,1,7,29,2000
63,4649.75,32,82,44,1,0,9,34,2000
64,2216,8,28,45,4,0,3,38,2000
65,2396.95,2,87,42,1,1,9,32,2000
66,4887,49,69,33,2,0,9,20,2000
67,2876.2,5,64,36,4,1,7,22,2000
68,4942.9502,35,84,34,1,1,8,22,2000
69,4103.7002,31,73,38,4,1,11,23,2000
70,5000.5,33,94,48,2,0,10,33,2000
71,3409.95,13,65,46,3,1,9,32,2000
72,2647.5,7,68,33,4,0,7,23,2000
73,3169.95,34,21,32,1,1,2,26,2000
74,4856.75,36,96,35,1,0,15,14,2000
75,3670.45,35,46,42,3,1,6,29,2000
76,4416.2002,42,42,44,2,1,5,38,2000
77,3324.2,18,42,43,4,1,6,32,2000
78,,11,81,49,1,1,13,33,2000
79,3975.95,8,93,41,1,1,15,22,2000
